Genotype	Treatment	Time_in_Weeks	sgID	LNmean	Pvalue
EGFR;p53	None	11	Rb1	1.0166	0.0522
EGFR;p53	None	11	Rbm10	0.9915	0.7542
EGFR;p53	None	11	Apc	1.0185	0.5912
EGFR;p53	None	11	Smad4	1.0313	0.3750
EGFR;p53	None	11	Keap1	1.0955	0.2256
EGFR;p53	None	11	Atm	0.9428	0.0526
EGFR;p53	None	11	Arid1a	1.0247	0.6782
EGFR;p53	None	11	Cdkn2a	1.0024	0.7468
EGFR;p53	None	11	p53	0.9525	0.2908
EGFR;p53	None	11	Lkb1	0.9547	0.0030
EGFR;p53	None	11	Setd2	0.9785	0.2696
EGFR;p53	None	11	Neo1	0.9498	0.3112
EGFR;p53	None	11	Neo2	1.0086	0.0314
EGFR;p53	None	11	Neo3	1.0320	0.0000
EGFR;p53	None	11	NT1	0.9984	0.7230
EGFR;p53;Cas9	vehicle	11	Rb1	4.0209	0.0000
EGFR;p53;Cas9	vehicle	11	Rbm10	2.1712	0.0000
EGFR;p53;Cas9	vehicle	11	Apc	2.1093	0.0000
EGFR;p53;Cas9	vehicle	11	Smad4	1.3001	0.0004
EGFR;p53;Cas9	vehicle	11	Keap1	1.0767	0.6720
EGFR;p53;Cas9	vehicle	11	Atm	1.1319	0.0628
EGFR;p53;Cas9	vehicle	11	Arid1a	1.0497	0.8458
EGFR;p53;Cas9	vehicle	11	Cdkn2a	0.9479	0.1266
EGFR;p53;Cas9	vehicle	11	p53	0.9306	0.0584
EGFR;p53;Cas9	vehicle	11	Lkb1	0.8020	0.0014
EGFR;p53;Cas9	vehicle	11	Setd2	0.8199	0.0138
EGFR;p53;Cas9	vehicle	11	Neo1	0.9380	0.0132
EGFR;p53;Cas9	vehicle	11	Neo2	1.0679	0.0450
EGFR;p53;Cas9	vehicle	11	Neo3	1.0236	0.5130
EGFR;p53;Cas9	vehicle	11	NT1	0.9861	0.4890
EGFR;p53;Cas9	osimertinib	11	Rb1	1.8688	0.0000
EGFR;p53;Cas9	osimertinib	11	Rbm10	1.3539	0.0000
EGFR;p53;Cas9	osimertinib	11	Apc	1.4895	0.0000
EGFR;p53;Cas9	osimertinib	11	Smad4	1.0256	0.3456
EGFR;p53;Cas9	osimertinib	11	Keap1	1.4056	0.0000
EGFR;p53;Cas9	osimertinib	11	Atm	0.9791	0.5088
EGFR;p53;Cas9	osimertinib	11	Arid1a	0.9508	0.0356
EGFR;p53;Cas9	osimertinib	11	Cdkn2a	1.0289	0.1536
EGFR;p53;Cas9	osimertinib	11	p53	0.9958	0.8482
EGFR;p53;Cas9	osimertinib	11	Lkb1	0.8959	0.0100
EGFR;p53;Cas9	osimertinib	11	Setd2	0.9498	0.0494
