Genotype	Treatment	Time_in_Weeks	target	Percentile	Cell_Number	Relative_percentile	Perc.Lower	Perc.Upper	Sd	Pvalue
EGFR;p53	None	11	Neo1	0.5	1102.3	0.9519	0.9346	1.0127	0.0197	0.0956
EGFR;p53	None	11	Neo1	0.6	1391.8	0.9398	0.9155	1.0112	0.0248	0.0753
EGFR;p53	None	11	Neo1	0.7	1892.8	0.9504	0.9282	1.0290	0.0284	0.2235
EGFR;p53	None	11	Neo1	0.8	2772.4	0.9508	0.9206	1.0429	0.0364	0.4519
EGFR;p53	None	11	Neo1	0.9	4813.8	0.9411	0.9091	1.1128	0.0553	0.3928
EGFR;p53	None	11	Neo1	0.95	8105.9	0.9773	0.9488	1.1970	0.0594	0.8758
EGFR;p53	None	11	Neo2	0.5	1188	1.0259	1.0000	1.0370	0.0094	0.0687
EGFR;p53	None	11	Neo2	0.6	1509.7	1.0195	0.9841	1.0379	0.0145	0.2569
EGFR;p53	None	11	Neo2	0.7	1993	1.0007	0.9762	1.0524	0.0193	0.5657
EGFR;p53	None	11	Neo2	0.8	2946.1	1.0104	0.9845	1.0256	0.0110	0.2633
EGFR;p53	None	11	Neo2	0.9	5144.1	1.0057	0.9908	1.0543	0.0169	0.2325
EGFR;p53	None	11	Neo2	0.95	8408.6	1.0138	0.9785	1.0698	0.0253	0.4966
EGFR;p53	None	11	Neo3	0.5	1178	1.0173	0.9887	1.0414	0.0110	0.1310
EGFR;p53	None	11	Neo3	0.6	1521.1	1.0272	0.9936	1.0370	0.0111	0.0872
EGFR;p53	None	11	Neo3	0.7	2026.4	1.0175	1.0035	1.0513	0.0119	0.0379
EGFR;p53	None	11	Neo3	0.8	2984	1.0234	1.0000	1.0415	0.0116	0.1031
EGFR;p53	None	11	Neo3	0.9	5306.6	1.0374	0.9923	1.0548	0.0180	0.1710
EGFR;p53	None	11	Neo3	0.95	8504.3	1.0254	0.9809	1.0783	0.0267	0.2033
EGFR;p53	None	11	NT1	0.5	1166.2	1.0071	0.9617	1.0283	0.0169	0.6304
EGFR;p53	None	11	NT1	0.6	1486.5	1.0038	0.9746	1.0221	0.0136	0.7009
EGFR;p53	None	11	NT1	0.7	2005.5	1.0070	0.9567	1.0268	0.0235	0.7164
EGFR;p53	None	11	NT1	0.8	2908.4	0.9974	0.9362	1.0211	0.0206	0.6400
EGFR;p53	None	11	NT1	0.9	5043.8	0.9861	0.8920	1.0277	0.0371	0.7132
EGFR;p53	None	11	NT1	0.95	8077.4	0.9739	0.8470	0.9942	0.0387	0.0082
EGFR;p53	None	11	Setd2	0.5	1161.3	1.0029	0.9634	1.0190	0.0138	0.8720
EGFR;p53	None	11	Setd2	0.6	1469.7	0.9925	0.9697	1.0139	0.0108	0.6579
EGFR;p53	None	11	Setd2	0.7	1959.6	0.9840	0.9552	1.0053	0.0149	0.2762
EGFR;p53	None	11	Setd2	0.8	2850.4	0.9775	0.9418	1.0088	0.0132	0.1484
EGFR;p53	None	11	Setd2	0.9	4999.3	0.9774	0.9356	1.0768	0.0282	0.3132
EGFR;p53	None	11	Setd2	0.95	7896.9	0.9521	0.9104	1.0377	0.0312	0.1916
EGFR;p53	None	11	Lkb1	0.5	1146.8	0.9904	0.9124	1.0294	0.0347	0.7330
EGFR;p53	None	11	Lkb1	0.6	1447.4	0.9774	0.8928	1.0234	0.0371	0.4542
EGFR;p53	None	11	Lkb1	0.7	1915.1	0.9616	0.8571	1.0316	0.0474	0.2947
EGFR;p53	None	11	Lkb1	0.8	2817.8	0.9664	0.8398	1.0221	0.0562	0.3963
EGFR;p53	None	11	Lkb1	0.9	4831.8	0.9446	0.8439	1.0096	0.0517	0.1468
EGFR;p53	None	11	Lkb1	0.95	8085.7	0.9749	0.8205	1.0267	0.0647	0.5144
EGFR;p53	None	11	p53	0.5	1124.6	0.9712	0.9446	1.1119	0.0408	0.4515
EGFR;p53	None	11	p53	0.6	1425.2	0.9624	0.9416	1.0879	0.0384	0.3501
EGFR;p53	None	11	p53	0.7	1908.9	0.9585	0.9343	1.0751	0.0415	0.5728
EGFR;p53	None	11	p53	0.8	2817	0.9661	0.9429	1.0443	0.0264	0.2809
EGFR;p53	None	11	p53	0.9	4987	0.9750	0.9485	1.1256	0.0464	0.6006
EGFR;p53	None	11	p53	0.95	8249.9	0.9947	0.9396	1.1888	0.0500	0.4160
